date,value
1993-11,1
1993-12,0
1994-01,0
1994-02,0
1994-03,1
1994-04,0
1994-05,0
1994-06,0
1994-07,0
1994-08,0
1994-09,1
1994-10,0
1994-11,0
1994-12,1
1995-01,0
1995-02,0
1995-03,0
1995-04,1
1995-05,0
1995-06,0
1995-07,1
1995-08,0
1995-09,1
1995-10,0
1995-11,0
1995-12,1
1996-01,0
1996-02,1
1996-03,0
1996-04,0
1996-05,1
1996-06,0
1996-07,1
1996-08,0
1996-09,1
1996-10,0
1996-11,0
1996-12,1
1997-01,0
1997-02,1
1997-03,0
1997-04,0
1997-05,1
1997-06,0
1997-07,1
1997-08,0
1997-09,0
1997-10,1
1997-11,0
1997-12,1
1998-01,0
1998-02,0
1998-03,1
1998-04,0
1998-05,1
1998-06,0
1998-07,0
1998-08,0
1998-09,0
1998-10,1
1998-11,0
1998-12,0
1999-01,1
1999-02,0
1999-03,1
1999-04,0
1999-05,1
1999-06,0
1999-07,1
1999-08,0
1999-09,1
1999-10,0
1999-11,1
1999-12,0
2000-01,0
2000-02,0
2000-03,1
2000-04,1
2000-05,0
2000-06,1
2000-07,0
2000-08,0
2000-09,1
2000-10,0
2000-11,1
2000-12,1
2001-01,0
2001-02,1
2001-03,0
2001-04,0
2001-05,1
2001-06,1
2001-07,0
2001-08,0
2001-09,1
2001-10,0
2001-11,1
2001-12,0
2002-01,1
2002-02,0
2002-03,1
2002-04,0
2002-05,1
2002-06,1
2002-07,1
2002-08,0
2002-09,1
2002-10,0
2002-11,1
2002-12,0
2003-01,0
2003-02,1
2003-03,0
2003-04,1
2003-05,0
2003-06,1
2003-07,0
2003-08,0
2003-09,1
2003-10,0
2003-11,1
2003-12,0
2004-01,1
2004-02,0
2004-03,0
2004-04,1
2004-05,0
2004-06,1
2004-07,0
2004-08,1
2004-09,0
2004-10,1
2004-11,0
2004-12,0
2005-01,0
2005-02,1
2005-03,0
2005-04,2
2005-05,0
2005-06,1
2005-07,0
2005-08,2
2005-09,0
2005-10,2
2005-11,2
2005-12,0
2006-01,1
2006-02,1
2006-03,1
2006-04,2
2006-05,1
2006-06,2
2006-07,1
2006-08,2
2006-09,1
2006-10,2
2006-11,2
2006-12,2
2007-01,1
2007-02,1
2007-03,1
2007-04,3
2007-05,1
2007-06,3
2007-07,1
2007-08,1
2007-09,3
2007-10,1
2007-11,1
2007-12,2
2008-01,2
2008-02,1
2008-03,1
2008-04,2
2008-05,1
2008-06,2
2008-07,2
2008-08,1
2008-09,2
2008-10,2
2008-11,1
2008-12,3
2009-01,2
2009-02,2
2009-03,1
2009-04,2
2009-05,1
2009-06,2
2009-07,1
2009-08,2
2009-09,2
2009-10,1
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,3
2010-04,1
2010-05,2
2010-06,2
2010-07,1
2010-08,3
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,3
2011-04,1
2011-05,1
2011-06,3
2011-07,1
2011-08,3
2011-09,2
2011-10,3
2011-11,3
2011-12,3
2012-01,3
2012-02,3
2012-03,1
2012-04,2
2012-05,3
2012-06,4
2012-07,3
2012-08,2
2012-09,2
2012-10,2
2012-11,2
2012-12,4
2013-01,2
2013-02,3
2013-03,2
2013-04,4
2013-05,2
2013-06,2
2013-07,2
2013-08,4
2013-09,2
2013-10,3
2013-11,4
2013-12,3
2014-01,3
2014-02,3
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,5
2014-08,4
2014-09,4
2014-10,3
2014-11,4
2014-12,4
2015-01,4
2015-02,3
2015-03,2
2015-04,4
2015-05,4
2015-06,4
2015-07,5
2015-08,3
2015-09,2
2015-10,2
2015-11,4
2015-12,4
2016-01,3
2016-02,3
2016-03,2
2016-04,3
2016-05,3
2016-06,2
2016-07,6
2016-08,3
2016-09,4
2016-10,2
2016-11,5
2016-12,5
2017-01,2
2017-02,3
2017-03,3
2017-04,3
2017-05,2
2017-06,4
2017-07,5
2017-08,1
2017-09,4
2017-10,3
2017-11,4
2017-12,5
2018-01,3
2018-02,4
2018-03,2
2018-04,3
2018-05,3
2018-06,3
2018-07,5
2018-08,2
2018-09,3
2018-10,2
2018-11,5
2018-12,4
2019-01,1
2019-02,4
2019-03,5
2019-04,3
2019-05,3
2019-06,4
2019-07,4
2019-08,4
2019-09,4
2019-10,4
2019-11,3
2019-12,3
2020-01,2
2020-02,4
2020-03,2
2020-04,0
2020-05,4
